City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Ulladulla,AU,-35.35,150.4667,48.99,87,0,3.44,clear sky
328,Kabare,CD,-2.4683,28.8242,62.74,95,99,2.39,light rain
329,Felanitx,ES,39.4696,3.1483,57.2,58,75,4.61,broken clouds
330,Nizza Monferrato,IT,44.7738,8.3539,48.99,87,100,4.52,overcast clouds
331,Khani,GE,41.9563,42.9566,46.4,100,75,2.3,mist
332,Nuevo Laredo,MX,27.4763,-99.5164,87.8,51,75,6.91,broken clouds
333,Komsomolets,KZ,53.7453,62.0708,45.05,93,100,7.25,overcast clouds
334,Muzhi,RU,65.3667,64.6667,32.54,73,50,15.68,scattered clouds
335,Puerto Escondido,MX,15.85,-97.0667,87.8,66,20,5.75,few clouds
336,Alofi,NU,-19.0595,-169.9187,77.0,88,38,4.61,light rain
337,Cayenne,GF,4.9333,-52.3333,86.0,70,75,13.8,broken clouds
338,Bichena,ET,10.45,38.2,55.09,74,100,5.26,moderate rain
339,Chapadinha,BR,-3.7417,-43.3603,78.78,89,85,3.33,overcast clouds
340,Klaksvik,FO,62.2266,-6.589,33.8,75,20,2.3,few clouds
341,Ouegoa,NC,-20.35,164.4333,76.8,88,49,5.64,scattered clouds
342,Bamnet Narong,TH,15.4992,101.6897,79.21,74,100,8.03,overcast clouds
343,Ambilobe,MG,-13.2,49.05,73.85,90,96,3.06,overcast clouds
344,Inhambane,MZ,-23.865,35.3833,73.99,81,2,9.08,clear sky
